GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110203231,120110203231,"Block Group 1, Census Tract 203.23, Broward County, Florida",36908,10980
1500000US120110203232,120110203232,"Block Group 2, Census Tract 203.23, Broward County, Florida",52784,10152
1500000US120110203241,120110203241,"Block Group 1, Census Tract 203.24, Broward County, Florida",100288,23489
1500000US120110203242,120110203242,"Block Group 2, Census Tract 203.24, Broward County, Florida",38945,11926
1500000US120110203243,120110203243,"Block Group 3, Census Tract 203.24, Broward County, Florida",40000,10237
1500000US120110203251,120110203251,"Block Group 1, Census Tract 203.25, Broward County, Florida",54321,10629
1500000US120110203261,120110203261,"Block Group 1, Census Tract 203.26, Broward County, Florida",42352,11201
1500000US120110203262,120110203262,"Block Group 2, Census Tract 203.26, Broward County, Florida",53099,16277
1500000US120110204041,120110204041,"Block Group 1, Census Tract 204.04, Broward County, Florida",39600,10713
1500000US120110204042,120110204042,"Block Group 2, Census Tract 204.04, Broward County, Florida",70815,15433
1500000US120110204043,120110204043,"Block Group 3, Census Tract 204.04, Broward County, Florida",53950,26434
1500000US120110204051,120110204051,"Block Group 1, Census Tract 204.05, Broward County, Florida",32961,7459
1500000US120110204052,120110204052,"Block Group 2, Census Tract 204.05, Broward County, Florida",43030,5127
1500000US120110204061,120110204061,"Block Group 1, Census Tract 204.06, Broward County, Florida",34263,7750
1500000US120110204062,120110204062,"Block Group 2, Census Tract 204.06, Broward County, Florida",40764,15608
1500000US120110204063,120110204063,"Block Group 3, Census Tract 204.06, Broward County, Florida",87724,25634
1500000US120110204071,120110204071,"Block Group 1, Census Tract 204.07, Broward County, Florida",44967,8417
1500000US120110204072,120110204072,"Block Group 2, Census Tract 204.07, Broward County, Florida",50417,27008
1500000US120110204073,120110204073,"Block Group 3, Census Tract 204.07, Broward County, Florida",39219,8714
1500000US120110204091,120110204091,"Block Group 1, Census Tract 204.09, Broward County, Florida",44541,22755
1500000US120110204092,120110204092,"Block Group 2, Census Tract 204.09, Broward County, Florida",30586,7014
1500000US120110204093,120110204093,"Block Group 3, Census Tract 204.09, Broward County, Florida",29683,13952
1500000US120110204094,120110204094,"Block Group 4, Census Tract 204.09, Broward County, Florida",83569,2553
1500000US120110204111,120110204111,"Block Group 1, Census Tract 204.11, Broward County, Florida",70545,10184
1500000US120110204112,120110204112,"Block Group 2, Census Tract 204.11, Broward County, Florida",64023,26966
1500000US120110204113,120110204113,"Block Group 3, Census Tract 204.11, Broward County, Florida",50868,17485
